,feature,weight,abs_weight
0,snv_ms_driver_SRGAP3_Intron,0.16840343465161317,0.16840343465161317
1,snv_ms_driver_WWOX_Intron,0.1593187634727599,0.1593187634727599
2,snv_ms_driver_ATR_Intron,0.14430483582886736,0.14430483582886736
3,snv_ms_driver_MGA_Intron,0.13850037753774494,0.13850037753774494
4,snv_ms_driver_MSR1_Intron,0.13624429021686255,0.13624429021686255
5,sv_DEL,0.12569009266021958,0.12569009266021958
6,snv_ms_INS,0.12564898080392709,0.12564898080392709
7,snv_ms_driver_ADAM10_Intron,0.12220683905449943,0.12220683905449943
8,sv_total,0.12007744586593577,0.12007744586593577
9,snv_ms_driver_DLG1_Intron,0.11800424507542433,0.11800424507542433
