,feature,weight,abs_weight
0,snv_ms_driver_VHL_Coding,0.769455762301192,0.769455762301192
1,snv_ms_SBS40,0.49293457516447614,0.49293457516447614
2,snv_ms_DEL,0.386055645806238,0.386055645806238
3,snv_ms_driver_PBRM1_Coding,0.37567001672392997,0.37567001672392997
4,snv_ms_DNP,0.29756568291899155,0.29756568291899155
5,snv_chr_22,0.28983880958354435,0.28983880958354435
6,snv_ms_driver_TSC2_Intron,0.2801363224884082,0.2801363224884082
7,snv_ms_driver_PBRM1_Intron,0.26746412304770373,0.26746412304770373
8,snv_ms_driver_PTEN_Intron,0.2657826686206664,0.2657826686206664
9,cna_total_len_Mb,-0.2487437669853371,0.2487437669853371
