chrom	start	end	major_cn	minor_cn	donor_id	study	id
1	1	15929269	1	1	sim2	Prost-AdenoCA	cna0
1	15929270	31387432	2	1	sim2	Prost-AdenoCA	cna1
1	31387433	174804944	1	1	sim2	Prost-AdenoCA	cna2
1	174804945	190343282	2	0	sim2	Prost-AdenoCA	cna3
1	190343283	195658175	0	0	sim2	Prost-AdenoCA	cna4
1	195658176	243409340	1	1	sim2	Prost-AdenoCA	cna5
1	243409341	244077044	0	0	sim2	Prost-AdenoCA	cna6
1	244077045	249250621	1	1	sim2	Prost-AdenoCA	cna7
2	1	243199373	1	1	sim2	Prost-AdenoCA	cna8
3	1	194565597	1	1	sim2	Prost-AdenoCA	cna9
3	194565598	198022430	1	0	sim2	Prost-AdenoCA	cna10
4	1	65375101	1	1	sim2	Prost-AdenoCA	cna11
4	65375102	83883777	2	1	sim2	Prost-AdenoCA	cna12
4	83883778	191154276	1	1	sim2	Prost-AdenoCA	cna13
5	1	9043657	1	1	sim2	Prost-AdenoCA	cna14
5	9043658	9778980	2	1	sim2	Prost-AdenoCA	cna15
5	9778981	180915260	1	1	sim2	Prost-AdenoCA	cna16
6	1	125562638	3	1	sim2	Prost-AdenoCA	cna17
6	125562639	171060257	1	1	sim2	Prost-AdenoCA	cna18
6	171060258	171115067	0	0	sim2	Prost-AdenoCA	cna19
7	1	8967295	1	1	sim2	Prost-AdenoCA	cna20
7	8967296	9315423	2	2	sim2	Prost-AdenoCA	cna21
7	9315424	12787609	2	0	sim2	Prost-AdenoCA	cna22
7	12787610	68691428	1	1	sim2	Prost-AdenoCA	cna23
7	68691429	68701998	2	1	sim2	Prost-AdenoCA	cna24
7	68701999	94502329	1	1	sim2	Prost-AdenoCA	cna25
7	94502330	95394683	3	1	sim2	Prost-AdenoCA	cna26
7	95394684	95433337	0	0	sim2	Prost-AdenoCA	cna27
7	95433338	134013609	1	1	sim2	Prost-AdenoCA	cna28
7	134013610	134085412	1	0	sim2	Prost-AdenoCA	cna29
7	134085413	159138663	1	1	sim2	Prost-AdenoCA	cna30
8	1	55849583	1	1	sim2	Prost-AdenoCA	cna31
8	55849584	55947451	0	0	sim2	Prost-AdenoCA	cna32
