chrom1	start1	end1	chrom2	start2	end2	strand1	strand2	svclass	id	allele	donor_id	tumor
1	15731498	15731499	1	16517732	16517733	-	+	DUP	cna1	major	sim1	Panc-Endocrine
1	15731498	15731499	1	16517732	16517733	-	+	DUP	cna1	minor	sim1	Panc-Endocrine
1	16517733	16517734	1	18933395	18933396	-	+	DUP	cna2	major	sim1	Panc-Endocrine
1	16517733	16517734	1	18933395	18933396	+	-	DEL	cna2	minor	sim1	Panc-Endocrine
1	18933396	18933397	1	19024587	19024588	-	+	DUP	cna3	major	sim1	Panc-Endocrine
1	83605133	83605134	1	84307532	84307533	-	+	DUP	cna5	major	sim1	Panc-Endocrine
1	84307533	84307534	1	249047560	249047561	+	-	DEL	cna6	minor	sim1	Panc-Endocrine
1	184761100	184761101	1	184771107	184771108	+	+	h2hINV	cna6	major	sim1	Panc-Endocrine
1	232450700	232450701	1	233432924	233432925	+	+	h2hINV	cna6	major	sim1	Panc-Endocrine
1	249047561	249047562	1	249250621	249250622	-	+	DUP	cna7	major	sim1	Panc-Endocrine
1	249047561	249047562	1	249250621	249250622	-	+	DUP	cna7	minor	sim1	Panc-Endocrine
2	1	2	2	1208348	1208349	+	-	DEL	cna8	minor	sim1	Panc-Endocrine
2	1208349	1208350	2	1300353	1300354	-	+	DUP	cna9	major	sim1	Panc-Endocrine
2	1208349	1208350	2	1300353	1300354	-	+	DUP	cna9	minor	sim1	Panc-Endocrine
2	1300354	1300355	2	243162403	243162404	+	-	DEL	cna10	minor	sim1	Panc-Endocrine
2	47879579	47879580	2	47889581	47889582	+	+	h2hINV	cna10	major	sim1	Panc-Endocrine
2	51962779	243162403	8	102528063	143119521	-	-	TRA	cna10,cna27	minor,major	sim1	Panc-Endocrine
2	125092879	243162403	3	12224324	193652023	-	-	TRA	cna10,cna12	major,minor	sim1	Panc-Endocrine
2	137701079	137701080	2	137711082	137711083	-	-	t2tINV	cna10	major	sim1	Panc-Endocrine
2	202776779	202776780	2	241273401	241273402	-	-	t2tINV	cna10	major	sim1	Panc-Endocrine
2	243162404	243162405	2	243199373	243199374	-	+	DUP	cna11	major	sim1	Panc-Endocrine
2	243162404	243162405	2	243199373	243199374	+	-	DEL	cna11	minor	sim1	Panc-Endocrine
3	1	2	3	193652023	193652024	-	+	DUP	cna12	major	sim1	Panc-Endocrine
3	1	90722271	7	106611473	159138663	+	-	TRA	cna26,cna12	minor,major	sim1	Panc-Endocrine
3	3383006	3383007	3	4402109	4402110	+	+	h2hINV	cna12	major	sim1	Panc-Endocrine
3	166514106	166514107	3	166583425	166583426	-	-	t2tINV	cna12	minor	sim1	Panc-Endocrine
3	193652024	193652025	3	193777227	193777228	+	-	DEL	cna13	minor	sim1	Panc-Endocrine
3	193777228	193777229	3	194780369	194780370	-	+	DUP	cna14	major	sim1	Panc-Endocrine
3	194780370	194780371	3	197203159	197203160	-	+	DUP	cna15	major	sim1	Panc-Endocrine
3	194780370	194780371	3	197203159	197203160	-	+	DUP	cna15	minor	sim1	Panc-Endocrine
3	197203160	197203161	3	198022430	198022431	+	-	DEL	cna16	minor	sim1	Panc-Endocrine
4	1	2	4	12942736	12942737	-	+	DUP	cna17	major	sim1	Panc-Endocrine
4	1	2	4	12942736	12942737	+	-	DEL	cna17	minor	sim1	Panc-Endocrine
