chrom	start	end	major_cn	minor_cn	donor_id	study	id
1	1	249250621	1	1	sim1	Lymph-CLL	cna0
2	1	243199373	1	1	sim1	Lymph-CLL	cna1
3	1	198022430	1	1	sim1	Lymph-CLL	cna2
4	1	191154276	1	1	sim1	Lymph-CLL	cna3
5	1	180915260	1	1	sim1	Lymph-CLL	cna4
6	1	171115067	1	1	sim1	Lymph-CLL	cna5
7	1	159138663	1	1	sim1	Lymph-CLL	cna6
8	1	146364022	1	1	sim1	Lymph-CLL	cna7
9	1	141213431	1	1	sim1	Lymph-CLL	cna8
10	1	135534747	1	1	sim1	Lymph-CLL	cna9
11	1	135006516	1	1	sim1	Lymph-CLL	cna10
12	1	133851895	2	1	sim1	Lymph-CLL	cna11
13	1	109512687	1	1	sim1	Lymph-CLL	cna12
13	109512688	115169878	1	0	sim1	Lymph-CLL	cna13
14	1	107349540	1	1	sim1	Lymph-CLL	cna14
15	1	102531392	1	1	sim1	Lymph-CLL	cna15
16	1	90354753	1	1	sim1	Lymph-CLL	cna16
17	1	81195210	1	1	sim1	Lymph-CLL	cna17
18	1	78077248	1	1	sim1	Lymph-CLL	cna18
19	1	59128983	1	1	sim1	Lymph-CLL	cna19
20	1	63025520	1	1	sim1	Lymph-CLL	cna20
21	1	48129895	1	1	sim1	Lymph-CLL	cna21
22	1	51304566	1	1	sim1	Lymph-CLL	cna22
X	1	155270560	1	1	sim1	Lymph-CLL	cna23
Y	1	59373566	1	1	sim1	Lymph-CLL	cna24
